电视频道,#genre#
东方卫视,http://39.136.48.58:8089/PLTV/88888888/224/3221226347/index.m3u8
东方卫视,http://125.210.152.19:9090/live/hzgq-dftvgq-h264.m3u8
东方卫视,http://117.148.179.167/TVOD/88888888/224/3221231450/index.m3u8

湖南卫视,http://39.136.48.53:8089/PLTV/88888888/224/3221225767/index.m3u8
湖南卫视,http://125.210.152.19:9090/live/hzgq-hnwsgq-h264.m3u8
湖南卫视,http://117.148.179.172:80/PLTV/88888888/224/3221231729/index.m3u8

江苏卫视,http://39.136.48.53:8089/PLTV/88888888/224/3221226211/index.m3u8
江苏卫视,http://125.210.152.19:9090/live/hzgq-jswsgq-h264.m3u8
江苏卫视,http://117.148.179.175/PLTV/88888888/224/3221231447/index.m3u8

浙江卫视,http://39.136.48.53:8089/PLTV/88888888/224/3221225585/index.m3u8
浙江卫视,http://yd-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,http://117.148.179.136/PLTV/88888888/224/3221231567/index.m3u8

深圳卫视,http://39.136.48.58:8089/PLTV/88888888/224/3221226150/index.m3u8
深圳卫视,http://222.132.191.125:9901/tsfile/live/0126_1.m3u8
深圳卫视,http://117.169.120.140:8080/live/hdshenzhenstv/.m3u8
